response_variable_name	database_identifier	database_namespace	treatment	signal_intensity
RBM17	Q96I25	uniprot	Control 6h_2	0.0
AJUBA	Q96IF1	uniprot	Control 6h_2	0.0
RSRC1	Q96IZ7	uniprot	Control 6h_2	0.0
PDLIM2	Q96JY6	uniprot	Control 6h_2	0.0
EXOC2	Q96KP1	uniprot	Control 6h_2	0.0
RBM14; RBM14-RBM4	Q96PK6	uniprot	Control 6h_2	0.46639754200000005
QKI	Q96PU8	uniprot	Control 6h_2	0.0
PUS7	Q96PZ0	uniprot	Control 6h_2	0.510018001
SLC38A2	Q96QD8	uniprot	Control 6h_2	0.0
NUDCD1	Q96RS6	uniprot	Control 6h_2	0.0
C16orf13; METTL26	Q96S19	uniprot	Control 6h_2	0.0
TP53RK	Q96S44	uniprot	Control 6h_2	1.7540645430000001
PIGS	Q96S52	uniprot	Control 6h_2	1.3754247469999998
CLCC1	Q96S66	uniprot	Control 6h_2	0.0
SIN3A	Q96ST3	uniprot	Control 6h_2	0.0
CRBN	Q96SW2	uniprot	Control 6h_2	4.902995581
RUFY1	Q96T51	uniprot	Control 6h_2	0.0
UHRF1	Q96T88	uniprot	Control 6h_2	0.0
TBCB	Q99426	uniprot	Control 6h_2	0.0
PSMB7	Q99436	uniprot	Control 6h_2	0.0
CNN2	Q99439	uniprot	Control 6h_2	0.0
PSMD1	Q99460	uniprot	Control 6h_2	24.79901482
NUP88	Q99567	uniprot	Control 6h_2	0.0
POP1	Q99575	uniprot	Control 6h_2	0.0
COPS8	Q99627	uniprot	Control 6h_2	10.63507402
HSD17B10	Q99714	uniprot	Control 6h_2	14.54909165
NAP1L4	Q99733	uniprot	Control 6h_2	0.0
MGST2	Q99735	uniprot	Control 6h_2	0.379392323
TSG101	Q99816	uniprot	Control 6h_2	5.173218161
	Q99996	uniprot	Control 6h_2	0.0
PAIP2	Q9BPZ3	uniprot	Control 6h_2	0.0
MRPL34	Q9BQ48	uniprot	Control 6h_2	0.0
GRWD1	Q9BQ67	uniprot	Control 6h_2	4.666511316
TUBA1C	Q9BQE3	uniprot	Control 6h_2	9.22730689
BCL7B	Q9BQE9	uniprot	Control 6h_2	0.0
AIFM2	Q9BRQ8	uniprot	Control 6h_2	0.0
TRIM56	Q9BRZ2	uniprot	Control 6h_2	0.0
NTPCR	Q9BSD7	uniprot	Control 6h_2	0.0
MCMBP	Q9BTE3	uniprot	Control 6h_2	0.0
URM1	Q9BTM9	uniprot	Control 6h_2	0.0
TUBB6	Q9BUF5	uniprot	Control 6h_2	0.0
HNRNPUL1	Q9BUJ2	uniprot	Control 6h_2	0.0
PDCD10	Q9BUL8	uniprot	Control 6h_2	3.684904295
RPP25	Q9BUL9	uniprot	Control 6h_2	7.594856226
DDX23	Q9BUQ8	uniprot	Control 6h_2	0.0
BDH2	Q9BUT1	uniprot	Control 6h_2	2.436368389
MRI1	Q9BV20	uniprot	Control 6h_2	0.0
WDR18	Q9BV38	uniprot	Control 6h_2	1.491955029
ADI1	Q9BV57	uniprot	Control 6h_2	0.0
CXorf26; PBDC1	Q9BVG4	uniprot	Control 6h_2	0.0
TMUB1	Q9BVT8	uniprot	Control 6h_2	0.0
TIMM21	Q9BVV7	uniprot	Control 6h_2	0.0
SFXN3	Q9BWM7	uniprot	Control 6h_2	0.0
SLC4A1AP	Q9BWU0	uniprot	Control 6h_2	0.0
BCL2L13	Q9BXK5	uniprot	Control 6h_2	1.6401548030000002
SRRT	Q9BXP5	uniprot	Control 6h_2	8.013390744
FANCD2	Q9BXW9	uniprot	Control 6h_2	15.93984824
CHMP4A	Q9BY43	uniprot	Control 6h_2	0.0
MKI67IP; NIFK	Q9BYG3	uniprot	Control 6h_2	35.84619565
NUF2	Q9BZD4	uniprot	Control 6h_2	3.315279705
WDR11	Q9BZH6	uniprot	Control 6h_2	0.0
UCK2	Q9BZX2	uniprot	Control 6h_2	0.0
TRIM2	Q9C040	uniprot	Control 6h_2	0.0
DDX24	Q9GZR7	uniprot	Control 6h_2	0.0
WDR61	Q9GZS3	uniprot	Control 6h_2	5.67845596
NIF3L1	Q9GZT8	uniprot	Control 6h_2	0.0
PAIP1	Q9H074	uniprot	Control 6h_2	0.0
CLPB	Q9H078	uniprot	Control 6h_2	0.0
NAT10	Q9H0A0	uniprot	Control 6h_2	0.0
KLC2	Q9H0B6	uniprot	Control 6h_2	0.0
CSTF2T	Q9H0L4	uniprot	Control 6h_2	0.0
TSPAN10	Q9H1Z9	uniprot	Control 6h_2	0.0
SH3BGRL3	Q9H299	uniprot	Control 6h_2	4.548788872
SLK	Q9H2G2	uniprot	Control 6h_2	1.982418891
DPH5	Q9H2P9	uniprot	Control 6h_2	0.0
SPNS1	Q9H2V7	uniprot	Control 6h_2	0.0
TMX1	Q9H3N1	uniprot	Control 6h_2	0.0
NELFA; WHSC2	Q9H3P2	uniprot	Control 6h_2	6.566276265
GOLPH3L	Q9H4A5	uniprot	Control 6h_2	0.0
GOLPH3	Q9H4A6	uniprot	Control 6h_2	13.81322683
GLIPR2	Q9H4G4	uniprot	Control 6h_2	0.0
SMARCAD1	Q9H4L7	uniprot	Control 6h_2	0.0
HAUS4	Q9H6D7	uniprot	Control 6h_2	0.0
RANBP3	Q9H6Z4	uniprot	Control 6h_2	0.0
DCTPP1	Q9H773	uniprot	Control 6h_2	36.23437797
SH2D4A	Q9H788	uniprot	Control 6h_2	0.0
PTGES2	Q9H7Z7	uniprot	Control 6h_2	0.0
PHAX	Q9H814	uniprot	Control 6h_2	0.0
ACAD9	Q9H845	uniprot	Control 6h_2	0.228453204
LRRC40	Q9H9A6	uniprot	Control 6h_2	0.39046101
VIPAS39	Q9H9C1	uniprot	Control 6h_2	0.0
COG4	Q9H9E3	uniprot	Control 6h_2	0.0
VPS37B	Q9H9H4	uniprot	Control 6h_2	0.0
COPS7B	Q9H9Q2	uniprot	Control 6h_2	0.0
CACYBP	Q9HB71	uniprot	Control 6h_2	0.0
RRAGC	Q9HB90	uniprot	Control 6h_2	4.551824759
ATP6V0A4	Q9HBG4	uniprot	Control 6h_2	3.812302903
TMEM165	Q9HC07	uniprot	Control 6h_2	0.0
CBX8	Q9HC52	uniprot	Control 6h_2	0.0
SDF2L1	Q9HCN8	uniprot	Control 6h_2	0.0
XAB2	Q9HCS7	uniprot	Control 6h_2	0.0
TM9SF3	Q9HD45	uniprot	Control 6h_2	4.903758855
ABCB6	Q9NP58	uniprot	Control 6h_2	0.0
VTA1	Q9NP79	uniprot	Control 6h_2	4.288774588
MRPS30	Q9NP92	uniprot	Control 6h_2	0.0
DMAP1	Q9NPF5	uniprot	Control 6h_2	0.0
LUC7L	Q9NQ29	uniprot	Control 6h_2	0.0
RPRD1B	Q9NQG5	uniprot	Control 6h_2	5.029052108999999
PFDN4	Q9NQP4	uniprot	Control 6h_2	0.0
POLE3	Q9NRF9	uniprot	Control 6h_2	0.0
ABCB10	Q9NRK6	uniprot	Control 6h_2	0.0
AASDHPPT	Q9NRN7	uniprot	Control 6h_2	5.075361616
IARS2	Q9NSE4	uniprot	Control 6h_2	0.017354642
SACM1L	Q9NTJ5	uniprot	Control 6h_2	0.0
ECHDC1	Q9NTX5	uniprot	Control 6h_2	0.0
LMBRD1	Q9NUN5	uniprot	Control 6h_2	9.079309945
LIN7C	Q9NUP9	uniprot	Control 6h_2	0.0
FAM49B	Q9NUQ9	uniprot	Control 6h_2	0.0
TBC1D23	Q9NUY8	uniprot	Control 6h_2	0.0
PARVA	Q9NVD7	uniprot	Control 6h_2	0.0
ARL8B	Q9NVJ2	uniprot	Control 6h_2	0.0
PRMT7	Q9NVM4	uniprot	Control 6h_2	0.0
DDX18	Q9NVP1	uniprot	Control 6h_2	0.0
RBM22	Q9NW64	uniprot	Control 6h_2	0.0
SLTM	Q9NWH9	uniprot	Control 6h_2	14.49971067
MRPL22	Q9NWU5	uniprot	Control 6h_2	0.29120572100000003
C1orf123	Q9NWV4	uniprot	Control 6h_2	0.0
MRPL16	Q9NX20	uniprot	Control 6h_2	0.0
LYAR	Q9NX58	uniprot	Control 6h_2	0.0
TEX10	Q9NXF1	uniprot	Control 6h_2	0.0
THUMPD1	Q9NXG2	uniprot	Control 6h_2	13.1459166
CDKN2AIP	Q9NXV6	uniprot	Control 6h_2	0.0
DNAJB12	Q9NXW2	uniprot	Control 6h_2	4.606204353
GAR1	Q9NY12	uniprot	Control 6h_2	13.39170437
ZAK; MAP3K20	Q9NYL2	uniprot	Control 6h_2	0.0
C9orf78	Q9NZ63	uniprot	Control 6h_2	0.0
FAM120A	Q9NZB2	uniprot	Control 6h_2	4.213897793
IGF2BP1	Q9NZI8	uniprot	Control 6h_2	4.317179306
MTCH1	Q9NZJ7	uniprot	Control 6h_2	0.0
MYOF	Q9NZM1	uniprot	Control 6h_2	0.0
EMC3	Q9P0I2	uniprot	Control 6h_2	0.0
TMEM14C	Q9P0S9	uniprot	Control 6h_2	10.05400736
TMEM9	Q9P0T7	uniprot	Control 6h_2	0.0
RCC2	Q9P258	uniprot	Control 6h_2	0.0
CTTNBP2NL	Q9P2B4	uniprot	Control 6h_2	0.0
SUCLA2	Q9P2R7	uniprot	Control 6h_2	0.0
ATXN10	Q9UBB4	uniprot	Control 6h_2	8.226275247
NCDN	Q9UBB6	uniprot	Control 6h_2	0.0
EPS15L1	Q9UBC2	uniprot	Control 6h_2	0.0
MRC2	Q9UBG0	uniprot	Control 6h_2	0.0
GNG12	Q9UBI6	uniprot	Control 6h_2	0.0
EIF3K	Q9UBQ5	uniprot	Control 6h_2	13.97326695
DNAJB11	Q9UBS4	uniprot	Control 6h_2	4.154896867
SLC25A10	Q9UBX3	uniprot	Control 6h_2	0.0
ADD3	Q9UEY8	uniprot	Control 6h_2	0.0
SRP68	Q9UHB9	uniprot	Control 6h_2	38.1588981
PUF60	Q9UHX1	uniprot	Control 6h_2	11.94780993
ENOPH1	Q9UHY7	uniprot	Control 6h_2	0.0
XPO7	Q9UIA9	uniprot	Control 6h_2	2.302348726
BAZ1B	Q9UIG0	uniprot	Control 6h_2	0.0
LNPEP	Q9UIQ6	uniprot	Control 6h_2	2.360034995
HOOK1	Q9UJC3	uniprot	Control 6h_2	1.921379942
MRTO4	Q9UKD2	uniprot	Control 6h_2	0.0
APPL1	Q9UKG1	uniprot	Control 6h_2	0.0
GPATCH8	Q9UKJ3	uniprot	Control 6h_2	0.0
RALY	Q9UKM9	uniprot	Control 6h_2	41.43221535
GTF3C4	Q9UKN8	uniprot	Control 6h_2	6.905774212000001
PACSIN3	Q9UKS6	uniprot	Control 6h_2	0.0
NUP50	Q9UKX7	uniprot	Control 6h_2	8.514566142
KIDINS220	Q9ULH0	uniprot	Control 6h_2	0.0
MYO6	Q9UM54	uniprot	Control 6h_2	0.0
PRPF19	Q9UMS4	uniprot	Control 6h_2	12.27054709
UBQLN1	Q9UMX0	uniprot	Control 6h_2	0.0
NENF	Q9UMX5	uniprot	Control 6h_2	0.0
PACSIN2	Q9UNF0	uniprot	Control 6h_2	0.0
WDR3	Q9UNX4	uniprot	Control 6h_2	0.0
NSFL1C	Q9UNZ2	uniprot	Control 6h_2	1.751414361
EXOC7	Q9UPT5	uniprot	Control 6h_2	0.0
PA2G4	Q9UQ80	uniprot	Control 6h_2	47.29141575
C14orf166; RTRAF	Q9Y224	uniprot	Control 6h_2	0.0
NUDC	Q9Y266	uniprot	Control 6h_2	0.0
FARSA	Q9Y285	uniprot	Control 6h_2	39.676633700000004
ASF1A	Q9Y294	uniprot	Control 6h_2	1.22503086
AKAP2; PALM2-AKAP2	Q9Y2D5	uniprot	Control 6h_2	0.0
TRAPPC8	Q9Y2L5	uniprot	Control 6h_2	0.0
AP3M1	Q9Y2T2	uniprot	Control 6h_2	0.0
THRAP3	Q9Y2W1	uniprot	Control 6h_2	17.99823217
TMX2	Q9Y320	uniprot	Control 6h_2	1.305564585
LSM2	Q9Y333	uniprot	Control 6h_2	0.0
RRP7A	Q9Y3A4	uniprot	Control 6h_2	0.0
SBDS	Q9Y3A5	uniprot	Control 6h_2	13.28534466
EXOSC1	Q9Y3B2	uniprot	Control 6h_2	0.0
PPIL1	Q9Y3C6	uniprot	Control 6h_2	0.0
UFC1	Q9Y3C8	uniprot	Control 6h_2	2.521021709
MSRB2	Q9Y3D2	uniprot	Control 6h_2	0.0
PAM16	Q9Y3D7	uniprot	Control 6h_2	0.0
AK6; TAF9	Q9Y3D8	uniprot	Control 6h_2	0.0
CHMP3; RNF103-CHMP3	Q9Y3E7	uniprot	Control 6h_2	0.0
C22orf28; RTCB	Q9Y3I0	uniprot	Control 6h_2	14.74067156
RABGAP1	Q9Y3P9	uniprot	Control 6h_2	0.0
CHTOP	Q9Y3Y2	uniprot	Control 6h_2	1.859655366
SAMHD1	Q9Y3Z3	uniprot	Control 6h_2	1.015921867
USP15	Q9Y4E8	uniprot	Control 6h_2	0.0
ATG4B	Q9Y4P1	uniprot	Control 6h_2	0.0
AFG3L2	Q9Y4W6	uniprot	Control 6h_2	0.0
ARIH1	Q9Y4X5	uniprot	Control 6h_2	0.0
SAMM50	Q9Y512	uniprot	Control 6h_2	15.31287272
HSPB11	Q9Y547	uniprot	Control 6h_2	0.0
TNPO3	Q9Y5L0	uniprot	Control 6h_2	0.0
LRRFIP2	Q9Y608	uniprot	Control 6h_2	1.224779281
NPTN	Q9Y639	uniprot	Control 6h_2	0.0
ALG5	Q9Y673	uniprot	Control 6h_2	5.9184954460000005
MRPL42	Q9Y6G3	uniprot	Control 6h_2	0.178997214
DYNC1LI1	Q9Y6G9	uniprot	Control 6h_2	0.0
CEPT1	Q9Y6K0	uniprot	Control 6h_2	10.41958853
MYL12B; MYL12A	O14950	uniprot	Control 6h_2	
CKMT1B; CKMT1A	P12532	uniprot	Control 6h_2	0.0
ARF3	P61204	uniprot	Control 6h_2	
TCEAL5	Q5H9L2	uniprot	Control 6h_2	4.485248591
HIST2H3A; HIST2H3C; HIST2H3D	Q71DI3	uniprot	Control 6h_2	89.11433725
AFP	P02771	uniprot	Control 6h_3	1286.4910710000001
FABP1	P07148	uniprot	Control 6h_3	923.3126402999999
VIL1	P09327	uniprot	Control 6h_3	962.3361458999999
KRT18	P05783	uniprot	Control 6h_3	1405.874444
	Q9P2E9	uniprot	Control 6h_3	671.9873785
ANXA4	P09525	uniprot	Control 6h_3	627.4348368
KRT8	P05787	uniprot	Control 6h_3	859.7589487
MUC13	Q9H3R2	uniprot	Control 6h_3	332.5835831
CDH17	Q12864	uniprot	Control 6h_3	547.755795
LGALS3	P17931	uniprot	Control 6h_3	712.2223826000001
SERPINA1	P01009	uniprot	Control 6h_3	558.9628544
IDH1	O75874	uniprot	Control 6h_3	402.744904
C16orf62	Q7Z3J2	uniprot	Control 6h_3	427.8018995
TTR	P02766	uniprot	Control 6h_3	407.2073856
FLNB	O75369	uniprot	Control 6h_3	464.68492639999994
HSPA1B; HSPA1A	P0DMV9	uniprot	Control 6h_3	479.64024989999996
RPL4	P36578	uniprot	Control 6h_3	443.57947520000005
JUP	P14923	uniprot	Control 6h_3	273.4527369
CKB	P12277	uniprot	Control 6h_3	177.2939485
SLC9A3R1	O14745	uniprot	Control 6h_3	253.01182880000002
ALDH1A1	P00352	uniprot	Control 6h_3	270.8019767
PDIA3	P30101	uniprot	Control 6h_3	351.2812672
KRT20	P35900	uniprot	Control 6h_3	397.67040560000004
HSPA5	P11021	uniprot	Control 6h_3	424.958774
AHNAK	Q09666	uniprot	Control 6h_3	376.6110456
H1F0	P07305	uniprot	Control 6h_3	152.7538585
APOA1	P02647	uniprot	Control 6h_3	204.8454511
GAPDH	P04406	uniprot	Control 6h_3	483.19973339999996
OAT	P04181	uniprot	Control 6h_3	174.08495369999997
HIST1H1C	P16403	uniprot	Control 6h_3	170.28036699999998
SF3A1	Q15459	uniprot	Control 6h_3	181.5571873
ALDH18A1	P54886	uniprot	Control 6h_3	142.08565719999999
SUCLG2	Q96I99	uniprot	Control 6h_3	174.73719519999997
CYP51A1	Q16850	uniprot	Control 6h_3	175.88970590000002
DDX5	P17844	uniprot	Control 6h_3	219.1255379
EEF1A1	P68104	uniprot	Control 6h_3	357.39540619999997
NPM1	P06748	uniprot	Control 6h_3	307.9091548
RPL15	P61313	uniprot	Control 6h_3	179.5770637
LRPPRC	P42704	uniprot	Control 6h_3	294.6266814
GSTP1	P09211	uniprot	Control 6h_3	345.8498771
DPP4	P27487	uniprot	Control 6h_3	226.76413340000002
HSPA8	P11142	uniprot	Control 6h_3	666.5793095
MARCKS	P29966	uniprot	Control 6h_3	141.62496480000001
LGALS3BP	Q08380	uniprot	Control 6h_3	162.4928502
HIST1H1E	P10412	uniprot	Control 6h_3	180.3388372
PSAP	P07602	uniprot	Control 6h_3	184.7900961
SFPQ	P23246	uniprot	Control 6h_3	214.9429341
UGDH	O60701	uniprot	Control 6h_3	239.8600707
DSP	P15924	uniprot	Control 6h_3	138.764448
RPS5	P46782	uniprot	Control 6h_3	193.58609180000002
CTSB	P07858	uniprot	Control 6h_3	160.76331090000002
RPL35	P42766	uniprot	Control 6h_3	208.59555790000002
LDHA	P00338	uniprot	Control 6h_3	106.0485225
TFRC	P02786	uniprot	Control 6h_3	172.3038684
PDIA6	Q15084	uniprot	Control 6h_3	169.0405459
HNRNPM	P52272	uniprot	Control 6h_3	149.2357283
CHMP2B	Q9UQN3	uniprot	Control 6h_3	157.9341269
HNRNPA1	P09651	uniprot	Control 6h_3	172.07695769999998
MDH2	P40926	uniprot	Control 6h_3	172.0285036
TMBIM6	P55061	uniprot	Control 6h_3	157.78105569999997
ACAA2	P42765	uniprot	Control 6h_3	151.55085119999998
TAGLN2	P37802	uniprot	Control 6h_3	148.6286226
STIP1	P31948	uniprot	Control 6h_3	182.18976719999998
APOE	P02649	uniprot	Control 6h_3	152.40290369999997
NCL	P19338	uniprot	Control 6h_3	526.7880226
EZR	P15311	uniprot	Control 6h_3	166.35727169999998
EIF4H	Q15056	uniprot	Control 6h_3	145.0096509
CTNNA1	P35221	uniprot	Control 6h_3	193.68351
ATP5E	P56381	uniprot	Control 6h_3	97.12332381
GLS	O94925	uniprot	Control 6h_3	78.47979623
EIF4B	P23588	uniprot	Control 6h_3	136.5378179
APOA2	P02652	uniprot	Control 6h_3	147.668519
RPL6	Q02878	uniprot	Control 6h_3	149.5134042
COX4I1	P13073	uniprot	Control 6h_3	150.7705187
DHX9	Q08211	uniprot	Control 6h_3	149.5403491
SEC23A	Q15436	uniprot	Control 6h_3	76.07366390000001
SPTAN1	Q13813	uniprot	Control 6h_3	241.1564151
APLP2	Q06481	uniprot	Control 6h_3	129.6851249
TSPAN8	P19075	uniprot	Control 6h_3	186.1041836
RPL3	P39023	uniprot	Control 6h_3	119.39717479999999
DDX3X	O00571	uniprot	Control 6h_3	108.8370691
MCM3	P25205	uniprot	Control 6h_3	127.21824129999999
CTSD	P07339	uniprot	Control 6h_3	134.553178
SF3B4	Q15427	uniprot	Control 6h_3	106.1071455
HNRNPL	P14866	uniprot	Control 6h_3	108.3584412
SPTBN1	Q01082	uniprot	Control 6h_3	203.679714
CLPTM1	O96005	uniprot	Control 6h_3	63.79685145
ARCN1	P48444	uniprot	Control 6h_3	101.8510765
POR	P16435	uniprot	Control 6h_3	95.34088874
HUWE1	Q7Z6Z7	uniprot	Control 6h_3	85.34163471
TMEM109	Q9BVC6	uniprot	Control 6h_3	102.3872429
DHX15	O43143	uniprot	Control 6h_3	113.5756908
BZW1	Q7L1Q6	uniprot	Control 6h_3	92.39325234
FSCN1	Q16658	uniprot	Control 6h_3	102.3388764
FASN	P49327	uniprot	Control 6h_3	107.19095279999999
	Q9N2J8	uniprot	Control 6h_3	116.7812121
VASP	P50552	uniprot	Control 6h_3	68.41116457
HIST1H1B	P16401	uniprot	Control 6h_3	41.11794926
RSU1	Q15404	uniprot	Control 6h_3	64.17076920000001
MATR3	P43243	uniprot	Control 6h_3	89.95621569
GDF15	Q99988	uniprot	Control 6h_3	50.01051799
S100A10	P60903	uniprot	Control 6h_3	103.48034140000001
MSN	P26038	uniprot	Control 6h_3	93.43178954
PDLIM5	Q96HC4	uniprot	Control 6h_3	148.4949636
CTNND1	O60716	uniprot	Control 6h_3	79.67341379999999
BCLAF1	Q9NYF8	uniprot	Control 6h_3	95.95502308
RAB7A	P51149	uniprot	Control 6h_3	132.9617407
RPS23	P62266	uniprot	Control 6h_3	109.9659346
VAMP8	Q9BV40	uniprot	Control 6h_3	72.54936579999999
RPL29	P47914	uniprot	Control 6h_3	135.47208740000002
SERBP1	Q8NC51	uniprot	Control 6h_3	138.7601664
SLC1A5	Q15758	uniprot	Control 6h_3	90.34331042
CTTN	Q14247	uniprot	Control 6h_3	117.66512250000001
PKM	P14618	uniprot	Control 6h_3	62.07788561
NONO	Q15233	uniprot	Control 6h_3	109.11044740000001
LDHB	P07195	uniprot	Control 6h_3	114.22190590000001
P4HB	P07237	uniprot	Control 6h_3	185.2821509
HSP90AB1	P08238	uniprot	Control 6h_3	178.99105600000001
GRHPR	Q9UBQ7	uniprot	Control 6h_3	95.54817779999999
Sep-09	Q9UHD8	uniprot	Control 6h_3	118.11551850000001
GNB2L1; RACK1	P63244	uniprot	Control 6h_3	114.47987079999999
CSE1L	P55060	uniprot	Control 6h_3	103.9189095
SCPEP1	Q9HB40	uniprot	Control 6h_3	114.1392869
VIM	P08670	uniprot	Control 6h_3	14.21853371
PCBP1	Q15365	uniprot	Control 6h_3	84.61779776
PDLIM7	Q9NR12	uniprot	Control 6h_3	66.60308013
RAB1A	P62820	uniprot	Control 6h_3	88.71094481
ARPC2	O15144	uniprot	Control 6h_3	83.06960189
DLD	P09622	uniprot	Control 6h_3	122.9648352
ME1	P48163	uniprot	Control 6h_3	87.73552575
CTSA	P10619	uniprot	Control 6h_3	100.0406291
SSB	P05455	uniprot	Control 6h_3	117.5064805
PGK1	P00558	uniprot	Control 6h_3	62.33217259
LIMA1	Q9UHB6	uniprot	Control 6h_3	87.19696155
EIF1	P41567	uniprot	Control 6h_3	78.28319853
APOA1BP; NAXE	Q8NCW5	uniprot	Control 6h_3	65.19694789
TUFM	P49411	uniprot	Control 6h_3	101.8347814
HLA-A; LOC100507703	P01892	uniprot	Control 6h_3	68.01738301
TXNRD1	Q16881	uniprot	Control 6h_3	82.25120737
COMT	P21964	uniprot	Control 6h_3	81.86411291
STRAP	Q9Y3F4	uniprot	Control 6h_3	78.70610982
H3F3A; H3F3AP4; H3F3B	P84243	uniprot	Control 6h_3	84.58317533
ALPL	P05186	uniprot	Control 6h_3	78.4683274
EIF3A	Q14152	uniprot	Control 6h_3	98.59751800000001
SLC2A1	P11166	uniprot	Control 6h_3	172.42053090000002
MAT2A	P31153	uniprot	Control 6h_3	71.36636725
OPA1	O60313	uniprot	Control 6h_3	32.01583694
RBBP7	Q16576	uniprot	Control 6h_3	58.55873079
RPL10	P27635	uniprot	Control 6h_3	118.8210588
GFPT1	Q06210	uniprot	Control 6h_3	108.1096767
RPS4X	P62701	uniprot	Control 6h_3	88.68652267
ALDH2	P05091	uniprot	Control 6h_3	58.38118666
NDUFS1	P28331	uniprot	Control 6h_3	76.03261609
ZC3HAV1	Q7Z2W4	uniprot	Control 6h_3	57.75031723
SEC61B	P60468	uniprot	Control 6h_3	59.10885544
KRT7	P08729	uniprot	Control 6h_3	84.24930152
KRT7	P08729	uniprot	Control 6h_3	84.24930152
KRT7	P08729	uniprot	Control 6h_3	84.24930152
KRT7	P08729	uniprot	Control 6h_3	84.24930152
YWHAG	P61981	uniprot	Control 6h_3	58.09844683
PPIA	P62937	uniprot	Control 6h_3	215.579125
CCT4	P50991	uniprot	Control 6h_3	67.83979372
SYNJ2BP	P57105	uniprot	Control 6h_3	48.53916287
GAPVD1	Q14C86	uniprot	Control 6h_3	67.77620994
SMARCE1	Q969G3	uniprot	Control 6h_3	74.45110720000001
ATP1B3	P54709	uniprot	Control 6h_3	66.86577439
HSD17B4	P51659	uniprot	Control 6h_3	74.00444388
MGST3	O14880	uniprot	Control 6h_3	65.09734167
EHD1	Q9H4M9	uniprot	Control 6h_3	69.68775256
NDUFA4	O00483	uniprot	Control 6h_3	63.63796905
LRPAP1	P30533	uniprot	Control 6h_3	74.07737369
NUCB1	Q02818	uniprot	Control 6h_3	66.53842737
PPL	O60437	uniprot	Control 6h_3	67.81286109999999
CTNNB1	P35222	uniprot	Control 6h_3	59.51310118
ATP6V1G1	O75348	uniprot	Control 6h_3	85.9374088
RPS18	P62269	uniprot	Control 6h_3	87.95481615
EDF1	O60869	uniprot	Control 6h_3	51.06761169
TPI1	P60174	uniprot	Control 6h_3	69.453974
NUMA1	Q14980	uniprot	Control 6h_3	49.68793217
FLNC	Q14315	uniprot	Control 6h_3	63.06803631
HIST2H2AB	Q8IUE6	uniprot	Control 6h_3	42.32274301
SPINT2	O43291	uniprot	Control 6h_3	58.29280309999999
CBX3; C15orf57; CCDC32	Q13185	uniprot	Control 6h_3	95.73027378
PRKDC	P78527	uniprot	Control 6h_3	17.53372527
SEC61A1	P61619	uniprot	Control 6h_3	44.04082032
PFKP	Q01813	uniprot	Control 6h_3	66.68180426
RPL8	P62917	uniprot	Control 6h_3	73.42360591
LUC7L2	Q9Y383	uniprot	Control 6h_3	39.34081626
PPP5C	P53041	uniprot	Control 6h_3	55.40713702
LSM6	P62312	uniprot	Control 6h_3	47.99370649
YWHAQ	P27348	uniprot	Control 6h_3	59.98031054
PSMG1	O95456	uniprot	Control 6h_3	34.47978931
SH3GL1	Q99961	uniprot	Control 6h_3	10.84669829
HDGF	P51858	uniprot	Control 6h_3	59.16505943
CYR61	O00622	uniprot	Control 6h_3	52.14602434
TLN1	Q9Y490	uniprot	Control 6h_3	39.931327
MVP	Q14764	uniprot	Control 6h_3	67.39052836
CHMP1B	Q7LBR1	uniprot	Control 6h_3	38.20345789
ANXA7	P20073	uniprot	Control 6h_3	40.46997694
NDUFV2	P19404	uniprot	Control 6h_3	48.13243806
HIST1H1D	P16402	uniprot	Control 6h_3	51.88381374
ATP1A1	P05023	uniprot	Control 6h_3	46.47839681
VPS26A	O75436	uniprot	Control 6h_3	60.00483929999999
QPRT	Q15274	uniprot	Control 6h_3	47.57749559
RPSA	P08865	uniprot	Control 6h_3	129.6380128
RPS19	P39019	uniprot	Control 6h_3	45.22022148
PNP	P00491	uniprot	Control 6h_3	65.66416906
SAP18	O00422	uniprot	Control 6h_3	46.43589243
RPLP0	P05388	uniprot	Control 6h_3	91.49867049
ATP5I	P56385	uniprot	Control 6h_3	67.65206315
MAGED2	Q9UNF1	uniprot	Control 6h_3	59.40076021
ILF3	Q12906	uniprot	Control 6h_3	57.80366224
SDHA	P31040	uniprot	Control 6h_3	43.66540813
GPC1	P35052	uniprot	Control 6h_3	60.32416698
IDH3B	O43837	uniprot	Control 6h_3	45.42024665
ACSL5	Q9ULC5	uniprot	Control 6h_3	72.59840799999999
UQCRC2	P22695	uniprot	Control 6h_3	52.72293814
CDH1	P12830	uniprot	Control 6h_3	49.09934763
PSMD6	Q15008	uniprot	Control 6h_3	57.19798156
WDR1	O75083	uniprot	Control 6h_3	60.291151799999994
PSMA4	P25789	uniprot	Control 6h_3	58.59205915
TTLL12	Q14166	uniprot	Control 6h_3	83.33751158
PGM3	O95394	uniprot	Control 6h_3	30.32514021
PPP2R1A	P30153	uniprot	Control 6h_3	55.50281666
STT3A	P46977	uniprot	Control 6h_3	51.52442645
PTBP1	P26599	uniprot	Control 6h_3	37.17635509
CCT6A	P40227	uniprot	Control 6h_3	91.66467176
SCD	O00767	uniprot	Control 6h_3	17.26266887
UQCRC1	P31930	uniprot	Control 6h_3	45.58865594
PRSS57	Q6UWY2	uniprot	Control 6h_3	32.52899175
SURF4	O15260	uniprot	Control 6h_3	39.83400131
